,Recorder,Date,Time,Path
124,G03,2018/05/13,8:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_084800.wav
125,G03,2018/05/13,9:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_090400.wav
126,G03,2018/05/13,9:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_092000.wav
127,G03,2018/05/13,9:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_093600.wav
128,G03,2018/05/13,9:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_095200.wav
129,G03,2018/05/13,10:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_100800.wav
130,G03,2018/05/13,10:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_102400.wav
131,G03,2018/05/13,10:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_104000.wav
132,G03,2018/05/13,10:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_105600.wav
133,G03,2018/05/13,11:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_111200.wav
134,G03,2018/05/13,11:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_112800.wav
135,G03,2018/05/13,11:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_114400.wav
136,G03,2018/05/13,12:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_120000.wav
137,G03,2018/05/13,12:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_121600.wav
138,G03,2018/05/13,12:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_123200.wav
139,G03,2018/05/13,12:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_124800.wav
140,G03,2018/05/13,13:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_130400.wav
141,G03,2018/05/13,13:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_132000.wav
142,G03,2018/05/13,13:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_133600.wav
143,G03,2018/05/13,13:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_135200.wav
144,G03,2018/05/13,14:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_140800.wav
145,G03,2018/05/13,14:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_142400.wav
146,G03,2018/05/13,14:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_144000.wav
147,G03,2018/05/13,14:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_145600.wav
148,G03,2018/05/13,15:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_151200.wav
149,G03,2018/05/13,15:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_152800.wav
150,G03,2018/05/13,15:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_154400.wav
151,G03,2018/05/13,16:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_160000.wav
152,G03,2018/05/13,16:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_161600.wav
153,G03,2018/05/13,16:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_163200.wav
154,G03,2018/05/13,16:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_164800.wav
155,G03,2018/05/13,20:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_200000.wav
156,G03,2018/05/13,20:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_201600.wav
157,G03,2018/05/13,20:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_203200.wav
158,G03,2018/05/13,20:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_204800.wav
159,G03,2018/05/13,21:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_210400.wav
160,G03,2018/05/13,21:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_212000.wav
161,G03,2018/05/13,21:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_213600.wav
162,G03,2018/05/13,21:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_215200.wav
163,G03,2018/05/13,22:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_220800.wav
164,G03,2018/05/13,22:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_222400.wav
165,G03,2018/05/13,22:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_224000.wav
166,G03,2018/05/13,22:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_225600.wav
167,G03,2018/05/13,23:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_231200.wav
168,G03,2018/05/13,23:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_232800.wav
169,G03,2018/05/13,23:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_234400.wav
170,G03,2018/05/14,0:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_000000.wav
171,G03,2018/05/14,0:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_001600.wav
172,G03,2018/05/14,0:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_003200.wav
173,G03,2018/05/14,0:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_004800.wav
174,G03,2018/05/14,1:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_010400.wav
175,G03,2018/05/14,1:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_012000.wav
176,G03,2018/05/14,1:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_013600.wav
177,G03,2018/05/14,1:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_015200.wav
178,G03,2018/05/14,2:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_020800.wav
179,G03,2018/05/14,2:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_022400.wav
180,G03,2018/05/14,2:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_024000.wav
181,G03,2018/05/14,2:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_025600.wav
182,G03,2018/05/14,3:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_031200.wav
183,G03,2018/05/14,3:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_032800.wav
184,G03,2018/05/14,3:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_034400.wav
185,G03,2018/05/14,4:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_040000.wav
186,G03,2018/05/14,4:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_041600.wav
187,G03,2018/05/14,4:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_043200.wav
188,G03,2018/05/14,4:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_044800.wav
189,G03,2018/05/14,8:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_080000.wav
190,G03,2018/05/14,8:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_081600.wav
191,G03,2018/05/14,8:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_083200.wav
